"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Application successfully creates file with given name.","10013","test","Surefire suite","Sun Feb 09 23:52:01 GMT 2025","passed","Sun Feb 09 23:52:11 GMT 2025","sanity.TC003_VerifyApplicationGeneratesReportWithGivenNameTest","Surefire test","sanity.TC003_VerifyApplicationGeneratesReportWithGivenNameTest","test"
"Positive case scenario","120038","test","Surefire suite","Mon Feb 10 00:00:32 GMT 2025","passed","Mon Feb 10 00:02:32 GMT 2025","functional.TC007_VerifyPingerFlowWithValidReportTest","Surefire test","functional.TC007_VerifyPingerFlowWithValidReportTest","test"
"Application successfully creates *.json file.","10009","test","Surefire suite","Sun Feb 09 23:52:22 GMT 2025","passed","Sun Feb 09 23:52:32 GMT 2025","sanity.TC004_VerifyApplicationGeneratesReportAsJsonFileTest","Surefire test","sanity.TC004_VerifyApplicationGeneratesReportAsJsonFileTest","test"
"Positive case scenario","420117","test","Surefire suite","Sun Feb 09 23:52:32 GMT 2025","passed","Sun Feb 09 23:59:32 GMT 2025","functional.TC016_VerifyElevenEndpointsProcessingTest","Surefire test","functional.TC016_VerifyElevenEndpointsProcessingTest","test"
"Application prints an error and exits gracefully in case of broken JSON file structure.","4","test","Surefire suite","Sun Feb 09 23:52:32 GMT 2025","passed","Sun Feb 09 23:52:32 GMT 2025","functional.TC020_VerifyBrokenJsonProcessingTest","Surefire test","functional.TC020_VerifyBrokenJsonProcessingTest","test"
"Report file reflects JSON structure.","10035","test","Surefire suite","Sun Feb 09 23:51:51 GMT 2025","passed","Sun Feb 09 23:52:01 GMT 2025","sanity.TC005_VerifyReportIsValidJsonTest","Surefire test","sanity.TC005_VerifyReportIsValidJsonTest","test"
"Application successfully loads configuration JSON and exits without errors.","10010","verifyApplicationReadsValidConfigFile","Surefire suite","Sun Feb 09 23:52:12 GMT 2025","passed","Sun Feb 09 23:52:22 GMT 2025","sanity.TC002_VerifyApplicationReadsValidConfigFileTest","Surefire test","sanity.TC002_VerifyApplicationReadsValidConfigFileTest","verifyApplicationReadsValidConfigFile"
"Verify application usage message when no arguments are provided","3","test","Surefire suite","Mon Feb 10 00:02:32 GMT 2025","passed","Mon Feb 10 00:02:32 GMT 2025","smoke.TC001_VerifyApplicationIsRunnableTest","Surefire test","smoke.TC001_VerifyApplicationIsRunnableTest","test"
"Application prints an error and exits gracefully in case of non JSON file.","4","test","Surefire suite","Sun Feb 09 23:52:32 GMT 2025","passed","Sun Feb 09 23:52:32 GMT 2025","functional.TC021_VerifyInvalidFileTypeProcessingTest","Surefire test","functional.TC021_VerifyInvalidFileTypeProcessingTest","test"
"Report JSON file matches expected schema.","80","test","Surefire suite","Sun Feb 09 23:51:51 GMT 2025","failed","Sun Feb 09 23:51:51 GMT 2025","sanity.TC006_VerifyReportStructureTest","Surefire test","sanity.TC006_VerifyReportStructureTest","test"
"Should not execute pings for duplicated endpoints","60029","test","Surefire suite","Sun Feb 09 23:59:32 GMT 2025","passed","Mon Feb 10 00:00:32 GMT 2025","functional.TC017_VerifyPingerFlowWithDuplicatesTest","Surefire test","functional.TC017_VerifyPingerFlowWithDuplicatesTest","test"
