"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Application prints an error and exits gracefully in case of broken JSON file structure.","5","test","Surefire suite","Mon Feb 10 22:20:32 GMT 2025","failed","Mon Feb 10 22:20:32 GMT 2025","functional.TC019_VerifyBrokenJsonProcessingTest","Surefire test","functional.TC019_VerifyBrokenJsonProcessingTest","test"
"Should not execute pings for duplicated endpoints","60091","test","Surefire suite","Mon Feb 10 22:20:32 GMT 2025","broken","Mon Feb 10 22:21:32 GMT 2025","functional.TC016_VerifyPingerFlowWithDuplicatesTest","Surefire test","functional.TC016_VerifyPingerFlowWithDuplicatesTest","test"
"Application successfully creates file with given name.","10013","test","Surefire suite","Mon Feb 10 22:20:02 GMT 2025","passed","Mon Feb 10 22:20:12 GMT 2025","sanity.TC003_VerifyApplicationGeneratesReportWithGivenNameTest","Surefire test","sanity.TC003_VerifyApplicationGeneratesReportWithGivenNameTest","test"
"Application successfully loads configuration JSON and exits without errors.","10010","verifyApplicationReadsValidConfigFile","Surefire suite","Mon Feb 10 22:20:12 GMT 2025","failed","Mon Feb 10 22:20:22 GMT 2025","sanity.TC002_VerifyApplicationReadsValidConfigFileTest","Surefire test","sanity.TC002_VerifyApplicationReadsValidConfigFileTest","verifyApplicationReadsValidConfigFile"
"Report file reflects JSON structure.","10034","test","Surefire suite","Mon Feb 10 22:19:52 GMT 2025","failed","Mon Feb 10 22:20:02 GMT 2025","sanity.TC005_VerifyReportIsValidJsonTest","Surefire test","sanity.TC005_VerifyReportIsValidJsonTest","test"
"Base positive case scenario.","120034","test","Surefire suite","Mon Feb 10 22:26:32 GMT 2025","broken","Mon Feb 10 22:28:33 GMT 2025","functional.TC007_VerifyPingerFlowWithValidReportTest","Surefire test","functional.TC007_VerifyPingerFlowWithValidReportTest","test"
"Application successfully creates *.json file.","10010","test","Surefire suite","Mon Feb 10 22:20:22 GMT 2025","passed","Mon Feb 10 22:20:32 GMT 2025","sanity.TC004_VerifyApplicationGeneratesReportAsJsonFileTest","Surefire test","sanity.TC004_VerifyApplicationGeneratesReportAsJsonFileTest","test"
"Verify application usage message when no arguments are provided","3","test","Surefire suite","Mon Feb 10 22:28:33 GMT 2025","passed","Mon Feb 10 22:28:33 GMT 2025","smoke.TC001_VerifyApplicationIsRunnableTest","Surefire test","smoke.TC001_VerifyApplicationIsRunnableTest","test"
"Report JSON file matches expected schema.","91","test","Surefire suite","Mon Feb 10 22:19:52 GMT 2025","failed","Mon Feb 10 22:19:52 GMT 2025","sanity.TC006_VerifyReportStructureTest","Surefire test","sanity.TC006_VerifyReportStructureTest","test"
"Execution of config file that has more than 10 endpoints.","300084","test","Surefire suite","Mon Feb 10 22:21:32 GMT 2025","broken","Mon Feb 10 22:26:32 GMT 2025","functional.TC015_VerifyElevenEndpointsProcessingTest","Surefire test","functional.TC015_VerifyElevenEndpointsProcessingTest","test"
"Application prints an error and exits gracefully in case of non JSON file.","7","test","Surefire suite","Mon Feb 10 22:21:32 GMT 2025","failed","Mon Feb 10 22:21:32 GMT 2025","functional.TC020_VerifyInvalidFileTypeProcessingTest","Surefire test","functional.TC020_VerifyInvalidFileTypeProcessingTest","test"
