"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Application prints an error and exits gracefully in case of broken JSON file structure.","5","test","Surefire suite","Mon Feb 10 16:47:30 GMT 2025","passed","Mon Feb 10 16:47:30 GMT 2025","functional.TC020_VerifyBrokenJsonProcessingTest","Surefire test","functional.TC020_VerifyBrokenJsonProcessingTest","test"
"Application successfully creates *.json file.","10010","test","Surefire suite","Mon Feb 10 16:47:20 GMT 2025","passed","Mon Feb 10 16:47:30 GMT 2025","sanity.TC004_VerifyApplicationGeneratesReportAsJsonFileTest","Surefire test","sanity.TC004_VerifyApplicationGeneratesReportAsJsonFileTest","test"
"Should not execute pings for duplicated endpoints","60032","test","Surefire suite","Mon Feb 10 16:54:30 GMT 2025","failed","Mon Feb 10 16:55:30 GMT 2025","functional.TC017_VerifyPingerFlowWithDuplicatesTest","Surefire test","functional.TC017_VerifyPingerFlowWithDuplicatesTest","test"
"Application successfully creates file with given name.","10012","test","Surefire suite","Mon Feb 10 16:47:00 GMT 2025","passed","Mon Feb 10 16:47:10 GMT 2025","sanity.TC003_VerifyApplicationGeneratesReportWithGivenNameTest","Surefire test","sanity.TC003_VerifyApplicationGeneratesReportWithGivenNameTest","test"
"Application prints an error and exits gracefully in case of non JSON file.","3","test","Surefire suite","Mon Feb 10 16:47:30 GMT 2025","passed","Mon Feb 10 16:47:30 GMT 2025","functional.TC021_VerifyInvalidFileTypeProcessingTest","Surefire test","functional.TC021_VerifyInvalidFileTypeProcessingTest","test"
"Execution of config file that has more than 10 endpoints.","420187","test","Surefire suite","Mon Feb 10 16:47:30 GMT 2025","failed","Mon Feb 10 16:54:30 GMT 2025","functional.TC016_VerifyElevenEndpointsProcessingTest","Surefire test","functional.TC016_VerifyElevenEndpointsProcessingTest","test"
"Report file reflects JSON structure.","10035","test","Surefire suite","Mon Feb 10 16:46:50 GMT 2025","passed","Mon Feb 10 16:47:00 GMT 2025","sanity.TC005_VerifyReportIsValidJsonTest","Surefire test","sanity.TC005_VerifyReportIsValidJsonTest","test"
"Application successfully loads configuration JSON and exits without errors.","10010","verifyApplicationReadsValidConfigFile","Surefire suite","Mon Feb 10 16:47:10 GMT 2025","passed","Mon Feb 10 16:47:20 GMT 2025","sanity.TC002_VerifyApplicationReadsValidConfigFileTest","Surefire test","sanity.TC002_VerifyApplicationReadsValidConfigFileTest","verifyApplicationReadsValidConfigFile"
"Verify application usage message when no arguments are provided","4","test","Surefire suite","Mon Feb 10 16:57:31 GMT 2025","passed","Mon Feb 10 16:57:31 GMT 2025","smoke.TC001_VerifyApplicationIsRunnableTest","Surefire test","smoke.TC001_VerifyApplicationIsRunnableTest","test"
"Base positive case scenario.","120041","test","Surefire suite","Mon Feb 10 16:55:30 GMT 2025","failed","Mon Feb 10 16:57:31 GMT 2025","functional.TC007_VerifyPingerFlowWithValidReportTest","Surefire test","functional.TC007_VerifyPingerFlowWithValidReportTest","test"
"Report JSON file matches expected schema.","86","test","Surefire suite","Mon Feb 10 16:46:50 GMT 2025","failed","Mon Feb 10 16:46:50 GMT 2025","sanity.TC006_VerifyReportStructureTest","Surefire test","sanity.TC006_VerifyReportStructureTest","test"
