"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Application successfully creates *.json file.","10011","test","Surefire suite","Mon Feb 10 12:51:33 GMT 2025","passed","Mon Feb 10 12:51:43 GMT 2025","sanity.TC004_VerifyApplicationGeneratesReportAsJsonFileTest","Surefire test","sanity.TC004_VerifyApplicationGeneratesReportAsJsonFileTest","test"
"Should not execute pings for duplicated endpoints","60032","test","Surefire suite","Mon Feb 10 12:58:43 GMT 2025","failed","Mon Feb 10 12:59:44 GMT 2025","functional.TC017_VerifyPingerFlowWithDuplicatesTest","Surefire test","functional.TC017_VerifyPingerFlowWithDuplicatesTest","test"
"Application prints an error and exits gracefully in case of broken JSON file structure.","4","test","Surefire suite","Mon Feb 10 12:51:43 GMT 2025","passed","Mon Feb 10 12:51:43 GMT 2025","functional.TC020_VerifyBrokenJsonProcessingTest","Surefire test","functional.TC020_VerifyBrokenJsonProcessingTest","test"
"Application successfully loads configuration JSON and exits without errors.","10009","verifyApplicationReadsValidConfigFile","Surefire suite","Mon Feb 10 12:51:23 GMT 2025","passed","Mon Feb 10 12:51:33 GMT 2025","sanity.TC002_VerifyApplicationReadsValidConfigFileTest","Surefire test","sanity.TC002_VerifyApplicationReadsValidConfigFileTest","verifyApplicationReadsValidConfigFile"
"Application prints an error and exits gracefully in case of non JSON file.","4","test","Surefire suite","Mon Feb 10 12:51:43 GMT 2025","passed","Mon Feb 10 12:51:43 GMT 2025","functional.TC021_VerifyInvalidFileTypeProcessingTest","Surefire test","functional.TC021_VerifyInvalidFileTypeProcessingTest","test"
"Base positive case scenario.","120040","test","Surefire suite","Mon Feb 10 12:59:44 GMT 2025","passed","Mon Feb 10 13:01:44 GMT 2025","functional.TC007_VerifyPingerFlowWithValidReportTest","Surefire test","functional.TC007_VerifyPingerFlowWithValidReportTest","test"
"Application successfully creates file with given name.","10012","test","Surefire suite","Mon Feb 10 12:51:13 GMT 2025","passed","Mon Feb 10 12:51:23 GMT 2025","sanity.TC003_VerifyApplicationGeneratesReportWithGivenNameTest","Surefire test","sanity.TC003_VerifyApplicationGeneratesReportWithGivenNameTest","test"
"Verify application usage message when no arguments are provided","4","test","Surefire suite","Mon Feb 10 13:01:44 GMT 2025","passed","Mon Feb 10 13:01:44 GMT 2025","smoke.TC001_VerifyApplicationIsRunnableTest","Surefire test","smoke.TC001_VerifyApplicationIsRunnableTest","test"
"Report file reflects JSON structure.","10037","test","Surefire suite","Mon Feb 10 12:51:03 GMT 2025","passed","Mon Feb 10 12:51:13 GMT 2025","sanity.TC005_VerifyReportIsValidJsonTest","Surefire test","sanity.TC005_VerifyReportIsValidJsonTest","test"
"Report JSON file matches expected schema.","118","test","Surefire suite","Mon Feb 10 12:51:03 GMT 2025","failed","Mon Feb 10 12:51:03 GMT 2025","sanity.TC006_VerifyReportStructureTest","Surefire test","sanity.TC006_VerifyReportStructureTest","test"
"Execution of config file that has more than 10 endpoints.","420179","test","Surefire suite","Mon Feb 10 12:51:43 GMT 2025","failed","Mon Feb 10 12:58:43 GMT 2025","functional.TC016_VerifyElevenEndpointsProcessingTest","Surefire test","functional.TC016_VerifyElevenEndpointsProcessingTest","test"
