"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Application successfully creates *.json file.","10010","test","Surefire suite","Mon Feb 10 17:34:29 GMT 2025","passed","Mon Feb 10 17:34:39 GMT 2025","sanity.TC004_VerifyApplicationGeneratesReportAsJsonFileTest","Surefire test","sanity.TC004_VerifyApplicationGeneratesReportAsJsonFileTest","test"
"Base positive case scenario.","120041","test","Surefire suite","Mon Feb 10 17:42:40 GMT 2025","passed","Mon Feb 10 17:44:40 GMT 2025","functional.TC007_VerifyPingerFlowWithValidReportTest","Surefire test","functional.TC007_VerifyPingerFlowWithValidReportTest","test"
"Verify application usage message when no arguments are provided","4","test","Surefire suite","Mon Feb 10 17:44:40 GMT 2025","passed","Mon Feb 10 17:44:40 GMT 2025","smoke.TC001_VerifyApplicationIsRunnableTest","Surefire test","smoke.TC001_VerifyApplicationIsRunnableTest","test"
"Report file reflects JSON structure.","10033","test","Surefire suite","Mon Feb 10 17:33:59 GMT 2025","passed","Mon Feb 10 17:34:09 GMT 2025","sanity.TC005_VerifyReportIsValidJsonTest","Surefire test","sanity.TC005_VerifyReportIsValidJsonTest","test"
"Should not execute pings for duplicated endpoints","60078","test","Surefire suite","Mon Feb 10 17:34:39 GMT 2025","failed","Mon Feb 10 17:35:39 GMT 2025","functional.TC016_VerifyPingerFlowWithDuplicatesTest","Surefire test","functional.TC016_VerifyPingerFlowWithDuplicatesTest","test"
"Execution of config file that has more than 10 endpoints.","420125","test","Surefire suite","Mon Feb 10 17:35:39 GMT 2025","failed","Mon Feb 10 17:42:40 GMT 2025","functional.TC015_VerifyElevenEndpointsProcessingTest","Surefire test","functional.TC015_VerifyElevenEndpointsProcessingTest","test"
"Application successfully creates file with given name.","10012","test","Surefire suite","Mon Feb 10 17:34:09 GMT 2025","passed","Mon Feb 10 17:34:19 GMT 2025","sanity.TC003_VerifyApplicationGeneratesReportWithGivenNameTest","Surefire test","sanity.TC003_VerifyApplicationGeneratesReportWithGivenNameTest","test"
"Application successfully loads configuration JSON and exits without errors.","10010","verifyApplicationReadsValidConfigFile","Surefire suite","Mon Feb 10 17:34:19 GMT 2025","passed","Mon Feb 10 17:34:29 GMT 2025","sanity.TC002_VerifyApplicationReadsValidConfigFileTest","Surefire test","sanity.TC002_VerifyApplicationReadsValidConfigFileTest","verifyApplicationReadsValidConfigFile"
"Application prints an error and exits gracefully in case of broken JSON file structure.","4","test","Surefire suite","Mon Feb 10 17:34:39 GMT 2025","passed","Mon Feb 10 17:34:39 GMT 2025","functional.TC019_VerifyBrokenJsonProcessingTest","Surefire test","functional.TC019_VerifyBrokenJsonProcessingTest","test"
"Application prints an error and exits gracefully in case of non JSON file.","6","test","Surefire suite","Mon Feb 10 17:35:39 GMT 2025","passed","Mon Feb 10 17:35:39 GMT 2025","functional.TC020_VerifyInvalidFileTypeProcessingTest","Surefire test","functional.TC020_VerifyInvalidFileTypeProcessingTest","test"
"Report JSON file matches expected schema.","86","test","Surefire suite","Mon Feb 10 17:33:59 GMT 2025","failed","Mon Feb 10 17:33:59 GMT 2025","sanity.TC006_VerifyReportStructureTest","Surefire test","sanity.TC006_VerifyReportStructureTest","test"
