"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Application successfully creates file with given name.","10011","test","Surefire suite","Mon Feb 10 18:32:30 GMT 2025","passed","Mon Feb 10 18:32:40 GMT 2025","sanity.TC003_VerifyApplicationGeneratesReportWithGivenNameTest","Surefire test","sanity.TC003_VerifyApplicationGeneratesReportWithGivenNameTest","test"
"Application prints an error and exits gracefully in case of non JSON file.","7","test","Surefire suite","Mon Feb 10 18:34:00 GMT 2025","passed","Mon Feb 10 18:34:00 GMT 2025","functional.TC020_VerifyInvalidFileTypeProcessingTest","Surefire test","functional.TC020_VerifyInvalidFileTypeProcessingTest","test"
"Verify application usage message when no arguments are provided","5","test","Surefire suite","Mon Feb 10 18:43:00 GMT 2025","passed","Mon Feb 10 18:43:00 GMT 2025","smoke.TC001_VerifyApplicationIsRunnableTest","Surefire test","smoke.TC001_VerifyApplicationIsRunnableTest","test"
"Application prints an error and exits gracefully in case of broken JSON file structure.","5","test","Surefire suite","Mon Feb 10 18:33:00 GMT 2025","passed","Mon Feb 10 18:33:00 GMT 2025","functional.TC019_VerifyBrokenJsonProcessingTest","Surefire test","functional.TC019_VerifyBrokenJsonProcessingTest","test"
"Report JSON file matches expected schema.","80","test","Surefire suite","Mon Feb 10 18:32:19 GMT 2025","failed","Mon Feb 10 18:32:19 GMT 2025","sanity.TC006_VerifyReportStructureTest","Surefire test","sanity.TC006_VerifyReportStructureTest","test"
"Report file reflects JSON structure.","10037","test","Surefire suite","Mon Feb 10 18:32:19 GMT 2025","passed","Mon Feb 10 18:32:30 GMT 2025","sanity.TC005_VerifyReportIsValidJsonTest","Surefire test","sanity.TC005_VerifyReportIsValidJsonTest","test"
"Application successfully creates *.json file.","10010","test","Surefire suite","Mon Feb 10 18:32:50 GMT 2025","passed","Mon Feb 10 18:33:00 GMT 2025","sanity.TC004_VerifyApplicationGeneratesReportAsJsonFileTest","Surefire test","sanity.TC004_VerifyApplicationGeneratesReportAsJsonFileTest","test"
"Base positive case scenario.","120043","test","Surefire suite","Mon Feb 10 18:41:00 GMT 2025","passed","Mon Feb 10 18:43:00 GMT 2025","functional.TC007_VerifyPingerFlowWithValidReportTest","Surefire test","functional.TC007_VerifyPingerFlowWithValidReportTest","test"
"Application successfully loads configuration JSON and exits without errors.","10011","verifyApplicationReadsValidConfigFile","Surefire suite","Mon Feb 10 18:32:40 GMT 2025","passed","Mon Feb 10 18:32:50 GMT 2025","sanity.TC002_VerifyApplicationReadsValidConfigFileTest","Surefire test","sanity.TC002_VerifyApplicationReadsValidConfigFileTest","verifyApplicationReadsValidConfigFile"
"Execution of config file that has more than 10 endpoints.","420130","test","Surefire suite","Mon Feb 10 18:34:00 GMT 2025","failed","Mon Feb 10 18:41:00 GMT 2025","functional.TC015_VerifyElevenEndpointsProcessingTest","Surefire test","functional.TC015_VerifyElevenEndpointsProcessingTest","test"
"Should not execute pings for duplicated endpoints","60081","test","Surefire suite","Mon Feb 10 18:33:00 GMT 2025","failed","Mon Feb 10 18:34:00 GMT 2025","functional.TC016_VerifyPingerFlowWithDuplicatesTest","Surefire test","functional.TC016_VerifyPingerFlowWithDuplicatesTest","test"
